	"ИНДЕКСЫ ПОТРЕБИТЕЛЬСКИХ ЦЕН
на все товары и услуги по субъектам Российской Федерации в 1992-2024 гг."																																
																																	на конец периода, в % к декабрю предыдущего года
	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	20221)	20231)	20241)
Российская Федерация	2608,84	939,90	315,14	231,30	121,81	111,03	184,43	136,53	120,18	118,58	115,06	111,99	111,73	110,92	109,00	111,87	113,28	108,80	108,78	106,10	106,57	106,47	111,35	112,91	105,39	102,51	104,26	103,04	104,91	108,39	111,94	107,42	109,52
Центральный федеральный округ									120,71	119,20	115,50	111,69	112,07	110,49	109,00	112,22	113,27	109,42	108,86	106,00	106,88	106,68	111,99	113,68	105,85	103,18	104,65	103,01	104,70	108,32	112,46	107,41	109,92
Белгородская область	2601,89	791,91	316,38	228,41	129,15	113,43	167,65	140,79	120,92	119,21	116,35	112,01	111,71	112,57	109,30	112,33	113,60	108,94	109,03	105,51	106,24	106,24	110,53	111,38	104,38	101,54	104,35	102,80	104,92	109,13	112,79	107,01	109,11
Брянская область	1758,77	810,73	325,61	261,45	119,19	115,44	175,39	139,17	118,58	117,33	116,87	112,88	112,93	111,91	109,75	114,38	115,32	110,60	110,60	105,83	107,52	107,15	113,32	113,15	106,13	102,75	104,85	103,60	105,23	109,26	113,84	107,29	109,37
Владимирская область	2349,35	912,37	313,67	240,21	117,51	110,87	172,27	135,77	118,11	120,52	113,79	115,30	113,53	110,87	109,35	113,32	114,08	108,60	109,81	105,74	106,74	107,50	113,30	112,46	104,96	102,29	105,17	102,20	105,64	109,16	113,17	107,86	109,62
Воронежская область	2584,68	824,29	300,56	240,37	129,84	112,83	173,87	136,34	122,65	117,11	114,23	111,67	113,73	109,67	108,59	114,21	114,34	110,88	107,88	104,12	107,28	107,08	111,95	113,59	105,51	101,50	104,63	102,56	106,93	109,28	112,34	107,01	110,45
Ивановская область	2780,90	829,30	331,47	238,26	124,43	109,35	176,29	138,97	116,61	119,85	115,55	114,71	111,99	108,67	111,47	114,77	114,56	108,77	112,17	106,40	107,13	107,38	112,24	113,77	106,02	102,94	105,12	102,85	105,79	109,94	112,73	107,63	109,97
Калужская область	2258,72	874,90	336,18	256,91	120,52	110,39	173,73	132,72	118,55	119,57	117,49	114,34	114,04	111,15	109,45	113,52	114,89	110,18	108,48	106,80	107,61	107,60	113,18	114,54	105,67	103,36	104,62	102,66	105,72	108,86	115,62	108,05	109,11
Костромская область	2866,84	828,24	323,06	245,13	120,98	110,02	172,40	135,01	121,38	119,75	116,00	113,53	112,94	109,24	108,54	113,06	113,31	108,81	110,85	105,67	107,45	107,43	110,95	112,89	106,08	102,11	104,56	103,74	105,22	108,49	114,68	107,99	109,45
Курская область	2425,76	960,32	344,10	251,06	120,04	114,33	171,50	146,58	119,11	122,90	116,56	116,18	109,90	109,35	111,65	115,87	117,46	110,85	109,48	105,53	105,79	105,88	110,94	113,91	105,81	102,11	105,73	103,23	105,77	109,80	113,27	107,85	109,78
Липецкая область	1998,00	870,60	319,50	256,31	122,56	114,50	161,36	144,78	121,89	117,12	113,54	113,41	112,93	110,94	109,67	113,57	115,99	108,73	108,07	104,73	106,60	106,25	111,90	112,09	104,64	102,28	105,25	102,88	106,14	109,10	112,96	106,69	110,01
Московская область	2416,39	783,61	323,46	205,24	118,58	107,54	182,47	134,09	121,83	121,76	117,78	111,70	112,26	111,33	108,31	113,30	111,80	110,87	107,95	105,84	105,59	107,37	112,20	113,86	106,23	103,20	105,30	102,61	104,70	109,76	114,11	107,28	109,66
Орловская область	2115,20	848,67	352,26	238,61	120,61	106,72	167,91	139,28	118,97	116,74	115,11	112,20	111,74	109,51	107,60	111,31	114,31	108,57	108,98	105,76	106,84	107,42	112,69	112,81	106,27	102,04	103,99	103,37	105,22	109,08	112,87	107,52	109,81
Рязанская область	2714,97	979,34	305,97	268,99	120,66	111,90	179,41	139,34	118,08	119,17	112,04	114,91	111,67	110,06	108,61	116,49	115,44	108,34	109,85	105,82	107,04	108,07	113,47	112,30	105,54	103,28	106,00	102,89	106,01	109,20	112,13	106,51	109,48
Смоленская область	2635,29	805,69	290,12	241,52	119,12	113,15	176,73	144,67	122,52	116,60	116,13	112,91	113,42	111,90	109,52	114,42	116,78	110,02	110,92	106,43	106,49	106,17	114,15	111,85	104,69	102,35	104,90	102,18	105,41	108,13	110,31	107,05	110,30
Тамбовская область	2172,00	962,80	300,88	244,52	125,56	112,78	169,87	145,08	120,30	115,47	114,28	110,51	114,40	109,83	109,38	112,44	115,17	108,09	108,12	105,52	107,02	107,16	112,16	112,69	105,23	101,99	105,00	104,03	105,68	109,90	112,91	106,50	110,80
Тверская область	2490,40	787,50	302,70	226,80	120,18	113,84	171,14	139,16	121,87	119,01	115,04	112,75	111,77	110,87	107,73	112,71	113,20	108,34	109,66	105,27	106,69	107,20	113,63	112,09	104,77	102,00	104,44	102,14	105,17	109,12	112,28	106,59	109,35
Тульская область	2003,70	844,77	294,51	225,48	122,39	110,73	169,40	139,38	121,70	117,16	114,89	116,69	114,05	110,75	108,23	115,75	116,44	109,49	110,06	105,65	107,32	107,24	112,37	112,90	105,62	102,59	104,71	102,10	106,10	108,70	109,67	107,57	109,14
Ярославская область	1843,10	1054,60	323,35	233,13	125,20	111,78	172,56	133,07	120,06	120,76	116,11	111,92	111,71	112,29	110,50	113,46	114,82	109,53	110,48	106,00	107,81	107,04	113,48	113,86	105,74	102,68	105,05	103,80	105,51	109,31	111,58	106,10	110,29
г. Москва	2620,00	842,90	387,00	243,40	119,95	112,78	209,59	146,46	122,10	120,36	117,19	110,43	111,54	110,37	109,04	110,21	112,30	109,81	109,13	106,39	107,27	106,21	111,65	114,16	106,17	103,82	104,25	103,35	103,78	107,06	111,70	107,61	110,09
Северо-Западный федеральный округ									120,97	118,31	114,61	113,19	112,32	111,24	109,49	112,64	114,06	108,52	109,19	105,79	106,10	106,62	112,54	113,07	105,14	103,06	104,13	102,95	104,84	108,53	111,90	107,11	109,26
Республика Карелия	2810,30	1032,28	330,78	248,96	120,96	107,71	180,09	129,79	119,29	118,25	115,29	112,92	111,14	110,03	109,12	113,14	112,70	109,97	109,89	105,28	106,11	106,45	110,90	112,25	104,34	102,79	104,30	102,78	106,06	109,36	111,76	107,66	108,57
Республика Коми	3522,70	815,90	247,63	245,68	122,12	104,34	170,20	130,74	119,83	120,51	113,95	117,95	111,04	110,82	109,97	112,27	113,76	108,61	108,11	106,32	105,95	106,59	110,93	113,18	104,79	102,35	105,10	103,04	106,63	107,45	111,39	107,30	109,30
Архангельская область	2768,70	1070,37	313,11	244,93	117,93	107,30	171,82	132,22	121,04	119,57	116,05	112,66	112,50	109,72	108,98	112,85	114,08	108,58	109,37	105,37	105,91	106,66	112,96	113,03	104,74	101,57	103,80	103,25	104,62	109,27	112,01	108,77	108,04
Ненецкий авт.округ						113,71	160,84	157,54	125,09	119,98	125,45	112,73	117,70	112,27	109,20	107,35	118,40	105,93	106,67	104,49	105,67	105,55	109,71	115,35	104,72	101,67	101,84	104,12	103,42	103,67	115,63	104,60	106,26
Архангельская область (кроме Ненецкого автономного округа)																						106,76	113,00	113,00	104,77	101,53	103,95	103,13	104,73	109,57	111,87	108,96	108,10
Вологодская область	1532,40	728,08	292,26	247,45	121,15	109,84	163,49	136,93	119,72	115,37	113,10	113,05	111,75	111,26	109,20	112,65	114,29	107,24	109,15	105,73	106,01	107,21	112,01	112,01	104,95	102,20	103,90	102,93	105,28	109,31	112,58	107,83	110,02
Калининградская область	1663,90	844,33	317,00	242,30	109,59	105,54	202,49	134,54	117,45	121,01	109,82	117,53	111,66	111,11	107,88	111,22	115,24	108,01	107,98	105,72	105,64	106,97	115,60	111,74	104,69	102,81	104,82	102,76	105,14	109,49	112,92	108,16	110,34
Ленинградская область	2196,52	758,71	322,38	230,71	121,62	110,29	166,15	141,60	123,53	119,64	114,84	112,97	114,89	111,99	109,88	112,81	114,93	110,07	111,05	106,36	106,53	105,97	111,53	113,29	105,72	102,70	103,98	102,86	104,06	107,96	110,83	106,04	109,25
Мурманская область	2229,60	838,67	344,71	231,43	128,00	114,62	179,32	135,74	121,85	122,56	122,40	113,89	110,78	110,96	108,76	112,46	114,05	110,62	108,62	106,01	105,56	106,52	110,29	113,37	105,61	103,11	104,43	103,48	104,09	107,17	115,27	107,94	108,15
