	" ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА 
на душу населения и по основным социально-демографическим группам населения 
в целом по Российской Федерации и по субъектам Российской Федерации1)"																																																									
																																																								рублей в месяц		
	2013				2014				2015				2016				2017				2018				2019				2020				2021				 c 1 января 2022 г.				" c 1 июня 2022 г.
(с учетом индексации ВПМ на 10%)"				2023				2024				2025					
	Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения			Все население	в том числе по социально-демографическим группам населения				
		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		трудоспособное население	пенсионеры	дети		
Российская Федерация	7 306	7 871	5 998	7 022	8 050	8 683	6 617	7 752	9 701	10 455	7 965	9 472	9 828	10 598	8 081	9 660	10 088	10 899	8 315	9 925	10 287	11 125	8 483	10 150	10 890	11 809	9 002	10 703	11 312	12 235	9 308	11 216	11 653	12 702	10 022	11 303	12 6542)	13 793	10 882	12 274	13 9193)	15 172	11 970	13 501	14 3754)	15 669	12 363	13 944	15 4535)	16 844	13 290	14 989	17 733	19 329	15 250	17 201		
Центральный федеральный округ																																																										
Белгородская область	6 078	6 550	5 073	5 827	6 695	7 223	5 605	6 414	8 134	8 755	6 771	7 946	8 153	8 765	6 785	8 003	8 310	8 936	6 918	8 154	8 338	8 961	6 943	8 192	9 126	9 837	7 588	8 947	9 402	10 234	8 024	9 372	9 720	10 634	8 659	9 701	10 629	11 586	9 141	10 310	11 692	12 745	10 055	11 341	12 075	13 162	10 385	11 713	12 981	14 149	11 164	12 592	14 896	16 237	12 811	14 449		
Брянская область	6 509	7 008	5 420	6 268	7 335	7 897	6 119	7 043	8 843	9 498	7 353	8 610	9 099	9 762	7 572	8 899	9 536	10 226	7 921	9 366	9 787	10 486	8 120	9 670	10 575	11 362	8 796	10 285	11 027	11 826	9 133	10 872	11 280	12 085	9 860	11 206	11 934	13 008	10 432	11 856	13 127	14 309	11 475	13 042	13 560	14 780	11 854	13 472	14 217	15 497	12 387	14 078	16 314	17 782	14 030	15 825		
Владимирская область	6 920	7 501	5 779	6 737	7 770	8 433	6 518	7 554	9 344	10 136	7 821	9 283	9 269	10 059	7 777	9 255	9 467	10 295	7 966	9 443	9 591	10 436	8 070	9 608	10 340	11 279	8 719	10 323	10 840	11 818	9 107	10 981	11 093	12 085	9 303	11 294	12 274	13 379	10 556	11 906	13 501	14 717	11 612	13 097	13 944	15 199	11 992	13 526	14 989	16 338	12 891	14 539	17 201	18 749	14 793	16 685		
Воронежская область	5 979	6 468	4 982	5 737	6 828	7 398	5 717	6 558	8 174	8 859	6 834	7 944	8 219	8 898	6 881	8 077	8 364	9 056	7 011	8 204	8 578	9 263	7 163	8 409	9 232	10 001	7 740	9 033	9 145	9 928	7 670	9 054	9 747	10 557	9 020	9 558	10 756	11 724	9 796	10 433	11 832	12 896	10 776	11 476	12 363	13 476	11 261	11 992	13 444	14 654	11 768	13 041	15 605	17 009	13 420	15 137		
